name,district,division,latitude,longitude,email,phone
"Ramna Police Station","Dhaka","Dhaka",23.8103,90.4125,isfakiqbal@iut-dhaka.edu,01837121760
"Motijheel Police Station","Dhaka","Dhaka",23.8592,90.4302,isfakiqbal@iut-dhaka.edu,01837121760
"Gulshan Police Station","Dhaka","Dhaka",23.7621,90.3951,isfakiqbal@iut-dhaka.edu,01837121760
"Dhanmondi Police Station","Dhaka","Dhaka",23.8205,90.3751,isfakiqbal@iut-dhaka.edu,01837121760
"Mirpur Police Station","Dhaka","Dhaka",23.7838,90.4785,isfakiqbal@iut-dhaka.edu,01837121760
"Pallabi Police Station","Dhaka","Dhaka",23.8849,90.3689,isfakiqbal@iut-dhaka.edu,01837121760
"Uttara Police Station","Dhaka","Dhaka",23.8832,90.3384,isfakiqbal@iut-dhaka.edu,01837121760
"Cantonment Police Station","Dhaka","Dhaka",23.8174,90.3455,isfakiqbal@iut-dhaka.edu,01837121760
"Tejgaon Police Station","Dhaka","Dhaka",23.7572,90.3925,isfakiqbal@iut-dhaka.edu,01837121760
"Badda Police Station","Dhaka","Dhaka",23.7940,90.4533,isfakiqbal@iut-dhaka.edu,01837121760
"Khilgaon Police Station","Dhaka","Dhaka",23.8743,90.4767,isfakiqbal@iut-dhaka.edu,01837121760
"Shahbagh Police Station","Dhaka","Dhaka",23.8829,90.3940,isfakiqbal@iut-dhaka.edu,01837121760
"Lalbagh Police Station","Dhaka","Dhaka",23.7414,90.4113,isfakiqbal@iut-dhaka.edu,01837121760
"Kotwali Police Station","Dhaka","Dhaka",23.7787,90.3753,isfakiqbal@iut-dhaka.edu,01837121760
"Sutrapur Police Station","Dhaka","Dhaka",23.8566,90.4517,isfakiqbal@iut-dhaka.edu,01837121760
"Demra Police Station","Dhaka","Dhaka",23.7900,90.4294,isfakiqbal@iut-dhaka.edu,01837121760
"Jatrabari Police Station","Dhaka","Dhaka",23.8671,90.3685,isfakiqbal@iut-dhaka.edu,01837121760
"Kadamtali Police Station","Dhaka","Dhaka",23.7672,90.3769,isfakiqbal@iut-dhaka.edu,01837121760
"Shyampur Police Station","Dhaka","Dhaka",23.7865,90.3375,isfakiqbal@iut-dhaka.edu,01837121760
"Sabujbagh Police Station","Dhaka","Dhaka",23.8573,90.3929,isfakiqbal@iut-dhaka.edu,01837121760
"Mohammadpur Police Station","Dhaka","Dhaka",23.8357,90.4023,isfakiqbal@iut-dhaka.edu,01837121760
"Adabor Police Station","Dhaka","Dhaka",23.7872,90.4801,isfakiqbal@iut-dhaka.edu,01837121760
"Sher-e-Bangla Nagar Police Station","Dhaka","Dhaka",23.7939,90.3574,isfakiqbal@iut-dhaka.edu,01837121760
"Hazaribagh Police Station","Dhaka","Dhaka",23.7677,90.4463,isfakiqbal@iut-dhaka.edu,01837121760
"New Market Police Station","Dhaka","Dhaka",23.7358,90.3952,isfakiqbal@iut-dhaka.edu,01837121760
"Chawkbazar Police Station","Dhaka","Dhaka",23.7641,90.3940,isfakiqbal@iut-dhaka.edu,01837121760
"Bangshal Police Station","Dhaka","Dhaka",23.8628,90.4503,isfakiqbal@iut-dhaka.edu,01837121760
"Gendaria Police Station","Dhaka","Dhaka",23.8407,90.4860,isfakiqbal@iut-dhaka.edu,01837121760
"Wari Police Station","Dhaka","Dhaka",23.8268,90.4199,isfakiqbal@iut-dhaka.edu,01837121760
"Kamrangirchar Police Station","Dhaka","Dhaka",23.8516,90.4223,isfakiqbal@iut-dhaka.edu,01837121760
"Turag Police Station","Dhaka","Dhaka",23.7754,90.4498,isfakiqbal@iut-dhaka.edu,01837121760
"Kafrul Police Station","Dhaka","Dhaka",23.7884,90.3917,isfakiqbal@iut-dhaka.edu,01837121760
"Shah Ali Police Station","Dhaka","Dhaka",23.8088,90.3618,isfakiqbal@iut-dhaka.edu,01837121760
"Dakshinkhan Police Station","Dhaka","Dhaka",23.8239,90.4744,isfakiqbal@iut-dhaka.edu,01837121760
"Uttarkhan Police Station","Dhaka","Dhaka",23.8695,90.3629,isfakiqbal@iut-dhaka.edu,01837121760
"Bhatara Police Station","Dhaka","Dhaka",23.7775,90.4033,isfakiqbal@iut-dhaka.edu,01837121760
"Khilkhet Police Station","Dhaka","Dhaka",23.8003,90.4615,isfakiqbal@iut-dhaka.edu,01837121760
"Vatara Police Station","Dhaka","Dhaka",23.8770,90.3910,isfakiqbal@iut-dhaka.edu,01837121760
"Banani Police Station","Dhaka","Dhaka",23.8052,90.4324,isfakiqbal@iut-dhaka.edu,01837121760
"Rampura Police Station","Dhaka","Dhaka",23.8711,90.3790,isfakiqbal@iut-dhaka.edu,01837121760
"Hatirjheel Police Station","Dhaka","Dhaka",23.8625,90.3529,isfakiqbal@iut-dhaka.edu,01837121760
"Mugda Police Station","Dhaka","Dhaka",23.7445,90.3640,isfakiqbal@iut-dhaka.edu,01837121760
"Rupnagar Police Station","Dhaka","Dhaka",23.8358,90.4100,isfakiqbal@iut-dhaka.edu,01837121760
"Bhashantek Police Station","Dhaka","Dhaka",23.8313,90.4433,isfakiqbal@iut-dhaka.edu,01837121760
"Darussalam Police Station","Dhaka","Dhaka",23.7621,90.3420,isfakiqbal@iut-dhaka.edu,01837121760
"Gandaria Police Station","Dhaka","Dhaka",23.8205,90.4813,isfakiqbal@iut-dhaka.edu,01837121760
"Hazaribagh Police Station","Dhaka","Dhaka",23.8067,90.4076,isfakiqbal@iut-dhaka.edu,01837121760
"Kalabagan Police Station","Dhaka","Dhaka",23.7977,90.4155,isfakiqbal@iut-dhaka.edu,01837121760
"Paltan Police Station","Dhaka","Dhaka",23.7796,90.3851,isfakiqbal@iut-dhaka.edu,01837121760
"Shahjahanpur Police Station","Dhaka","Dhaka",23.7621,90.3577,isfakiqbal@iut-dhaka.edu,01837121760
"Vatara Police Station","Dhaka","Dhaka",23.8816,90.3817,isfakiqbal@iut-dhaka.edu,01837121760
"Gazipur Sadar Police Station","Gazipur","Dhaka",24.0023,90.4264,isfakiqbal@iut-dhaka.edu,01837121760
"Tongi Police Station","Gazipur","Dhaka",23.9614,90.4486,isfakiqbal@iut-dhaka.edu,01837121760
"Kaliakair Police Station","Gazipur","Dhaka",24.0591,90.4269,isfakiqbal@iut-dhaka.edu,01837121760
"Kapasia Police Station","Gazipur","Dhaka",23.9482,90.4318,isfakiqbal@iut-dhaka.edu,01837121760
"Sreepur Police Station","Gazipur","Dhaka",23.9496,90.3785,isfakiqbal@iut-dhaka.edu,01837121760
"Kaliganj Police Station","Gazipur","Dhaka",24.0510,90.3624,isfakiqbal@iut-dhaka.edu,01837121760
"Joydebpur Police Station","Gazipur","Dhaka",23.9523,90.4988,isfakiqbal@iut-dhaka.edu,01837121760
"Gacha Police Station","Gazipur","Dhaka",24.0250,90.4823,isfakiqbal@iut-dhaka.edu,01837121760
"Bason Police Station","Gazipur","Dhaka",24.0555,90.4063,isfakiqbal@iut-dhaka.edu,01837121760
"Konabari Police Station","Gazipur","Dhaka",24.0260,90.4527,isfakiqbal@iut-dhaka.edu,01837121760
"Kashimpur Police Station","Gazipur","Dhaka",24.0699,90.4705,isfakiqbal@iut-dhaka.edu,01837121760
"Pubail Police Station","Gazipur","Dhaka",24.0637,90.3818,isfakiqbal@iut-dhaka.edu,01837121760
"Narayanganj Sadar Police Station","Narayanganj","Dhaka",23.6337,90.4965,isfakiqbal@iut-dhaka.edu,01837121760
"Fatullah Police Station","Narayanganj","Dhaka",23.6254,90.5004,isfakiqbal@iut-dhaka.edu,01837121760
"Siddhirganj Police Station","Narayanganj","Dhaka",23.6508,90.4570,isfakiqbal@iut-dhaka.edu,01837121760
"Bandar Police Station","Narayanganj","Dhaka",23.6855,90.4828,isfakiqbal@iut-dhaka.edu,01837121760
"Rupganj Police Station","Narayanganj","Dhaka",23.5590,90.4772,isfakiqbal@iut-dhaka.edu,01837121760
"Araihazar Police Station","Narayanganj","Dhaka",23.6761,90.4909,isfakiqbal@iut-dhaka.edu,01837121760
"Sonargaon Police Station","Narayanganj","Dhaka",23.6991,90.4731,isfakiqbal@iut-dhaka.edu,01837121760
"Tangail Sadar Police Station","Tangail","Dhaka",24.2636,89.9179,isfakiqbal@iut-dhaka.edu,01837121760
"Sakhipur Police Station","Tangail","Dhaka",24.2364,89.9855,isfakiqbal@iut-dhaka.edu,01837121760
